Origin,Section,average_plaque_counts,average_plaque_pixels,average_plaque_pixel_percentage,sd_counts,sd_percents,se_counts,se_percents
Deer,cerebellum,1438.6,18168.2,0.04242642595885116,1086.3952830858163,0.03782242334709993,343.5483533814579,0.011960500440396505
Deer,hippocampus,3315.8,62965,0.12498518712534454,3758.453222034594,0.17555242231567822,1188.5272660827861,0.05551455032773141
Deer,midbrain,1693.875,27770.75,0.05745140247045268,2217.3114632365027,0.05804098224543268,783.9379858285986,0.020520586066236725
Deer,septum,4.6,188045.8,0.81296854827787,6.149977416399366,1.6746090461165193,1.9447936194419762,0.5295578776050148
Elk,cerebellum,4502.8,62891,0.12240849885839376,2640.96526124656,0.045789127474800045,835.1465446920745,0.014479793489216233
Elk,hippocampus,7156.7,104565.8,0.15813002865850273,2016.2362653661842,0.03572599463902234,637.5898899588808,0.011297551473427562
Elk,midbrain,6491.3,83661.2,0.14130591592062347,2313.3334798270844,0.03824473996175757,731.5402783776767,0.012094048680001484
Elk,septum,2048.6666666666665,24340.933333333334,0.07365785362291237,2206.8443749476523,0.10281371563471807,569.8047674562516,0.026546387227664545
control,cerebellum,162.2,2971.7,0.011782851030499699,216.55576648983512,0.02051727720566856,68.48094625514457,0.006488132735496759
control,hippocampus,219.7,5916.7,0.02196873949483627,256.1284616923486,0.04097782994246304,80.99493125430064,0.012958327618922976
control,midbrain,150.6,2440.7,0.011542024427515956,238.3695543571881,0.03231301994183901,75.37907166080281,0.010218274109465283
control,septum,68,2842.8,0.007830185506675398,88.74933489578638,0.013334951213880212,28.065003909574724,0.00421688183230886
